token_address,from_address,to_address,value,transaction_hash,log_index,block_number
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000004772,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,76,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000005385,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,78,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000049028,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,80,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000076952,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,82,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000076934,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,84,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000018360,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,86,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000044496,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,88,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000035677,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,90,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000024502,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,92,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000013843,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,94,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000037422,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,96,40645024
