transaction_hash,transaction_index,block_hash,block_number,cumulative_gas_used,gas_used,contract_address,root,status,effective_gas_price,l1_fee,l1_gas_used,l1_gas_price,l1_fee_scalar
0x3069fc1db7437136fd3bac8cc1dbc66af285dcbe506286acee6b25bfe275e995,19,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,1408417,75948,,,1,11394280658,,,,
0x149594a86e6bd5968d423e87fffa4b2121fe9021e8f332ed78bf3dfee67cdacd,20,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,1526690,118273,,,1,10394280658,,,,
0xe567547342825fdcbcd30413436fd5cf67a279f7704057625e014fe0713221e0,21,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,2049793,523103,,,1,10000000000,,,,
0x947e17719485191846c8ea0748fd7498ee5f4c415c7f5eb916a90db96b3e9ae0,22,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,2160543,110750,,,0,10000000000,,,,
0xab3153b80e2066f55077d9df60ebaf9ddf652dce5ddd6b0370a0ce92bf679775,23,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,2665612,505069,,,1,10000000000,,,,
0x2377f0d97b315068fb8d70d2f72bceab4dc58794362376573d3db935c484c7f3,24,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,3170681,505069,,,1,10000000000,,,,
0x36b261d589a04712e5725f93b424eddb5e6b9e20011a5ffed7676a1045fdb8fc,25,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,3281431,110750,,,0,10000000000,,,,
0xd09395b8f05e69945048086a4211d5c487eeb406c050f4593575bdb44508282c,26,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,3392181,110750,,,0,10000000000,,,,
0x7c545a45792ded0a1b320352553268674e20fdb8d108fe840d9ff47c858f17c3,27,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,3897250,505069,,,1,10000000000,,,,
0x3c8e2f71a13c58938ff329b321934ec0c7675e1832f4b8d2f347e87fc299c4f9,28,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,4402319,505069,,,1,10000000000,,,,
0xe76a6ccbb5db4fd154912918735296e23578b2d1e71236819e0cf8804e06de1d,29,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,4907388,505069,,,1,10000000000,,,,
0x8784add9c2e61f0a8f893de03df1b32f617f48c2fd817cf0aeb8a7dbf8a7e50a,30,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,5412457,505069,,,1,10000000000,,,,
0x2ba8630f020f40d1250fcb49e82cfac30b54eead57fa672c609855d156ac9ba6,31,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,5917526,505069,,,1,10000000000,,,,
0x9d773fc4d2887de7d51afc0a5107bb79a8967f7b0407e3b6d3961b4bdbfe94bb,32,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,6422595,505069,,,1,10000000000,,,,
0xb385a9929a1b623da218f0d185d9fc95e7ddd6ebbc0f684bf74220dc82e0f5c1,33,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,6927664,505069,,,1,10000000000,,,,
0x1af31232b9f2c03e5afe2ae9bd8ffc0f551b117860c0db39b992180f7f3684f9,34,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,7432733,505069,,,1,10000000000,,,,
